tipo;servicio;llamada;descripcion
Identificación electrónica;Registro en Cl@ve;False;Sistema de identificación que permite realizar un gran número de trámites con las Administraciones a través de Internet
Identificación electrónica;Obtención Número de Referencia;False;Sistema de autenticación e identificación para personas físicas que te permitirá realizar determinados trámites y gestiones fundamentalmente para la campaña de Renta
Identificación electrónica;Certificado electrónico FNMT para personas físicas;False;Obtención del certificado electrónico que le permite identificarse para la realización de trámites a través de Internet
Identificación electrónica;Apoderamietno para personas físicas;False;Otorgamiento de poder a un tercero para actuar a través de representante por Internet
Pagar, aplazar y consultar deudas;Pagar y consultar deudas;True;Información de deudas plazos de ingreso obtención de documentos de ingreso y pagos.
Pagar, aplazar y consultar deudas;Embargos;True;Información y tramitación de embargos obtención de cartas de pago ingresos levantamiento y asistencia en el cumplimiento.
Pagar, aplazar y consultar deudas;Aplazamientos;True;Información y tramitación de aplazamientos y fraccionamientos. Solicitud y obtención de documentos de ingreso y pagos.
Pagar, aplazar y consultar deudas;Recursos Recaudación;False;Información sobre la presentación y el estado de la tramitación de cualquier recurso de Recaudación.
Registro y notificaciones;Presentación de documentos en registro;False;Presentación de documentación realización de alegaciones y contestación a los requerimientos si has recibido una comunicación de la Agencia Tributaria.
Registro y notificaciones;Recogida de notificaciones;False;Acceso a notificaciones de la Agencia Tributaria
Impuestos y Tasas;Matriculación de vehículos;True;Información del Impuesto Especial sobre Determinados Medios de Transporte (modelo 576) para matricular vehículos.
Impuestos y Tasas;IRPF - (No se confeccionan declaraciones de Renta);True;Información del Impuesto sobre la Renta, de las declaraciones presentadas, del estado de la devolución, retenciones, pagos fraccionados, otras obligaciones relacionadas con el impuesto y asistencia sobre cartas recibidas de comprobación de declaraciones presentadas o de no declarantes del Impuesto.Este servicio no es válido para hacer declaraciones de Renta.
Impuestos y Tasas;IVA;True;Información del IVA declaraciones presentadas estado de la devolución regímenes especiales SII y otras obligaciones y gestiones relacionadas con el impuesto
Impuestos y Tasas;Módulos;True;Información sobre las obligaciones tributarias de los contribuyentes que tributan por Módulos.
Impuestos y Tasas;Impuesto sobre Sociedades;True;Información del Impuesto declaraciones presentadas estado de la devolución retenciones pagos fraccionados y otras obligaciones y gestiones relacionadas con el impuesto.
Impuestos y Tasas;Declaraciones informativas (modelo 180 184 190 720...);True;Información sobre las declaraciones informativas (modelo 180 184 190 720...) formas y plazos de presentación y su modificación
Aduanas;Información comercio exterior (aduanas);True;Información sobre cómo importar o exportar mercancías y demás cuestiones aduaneras.
Aduanas;Garantías y facilidades de pago;False;Derechos arancelarios por importar o exportar mercancías y constitución de garantías.
Aduanas;INTRASTAT;True;Ayuda sobre la declaración mensual Intrastat: obligación plazos de presentación etc.
Impuestos especiales y medioambientales;Información general de Impuestos Especiales (hidrocarburos alcohol tabaco etc...);True;Impuestos sobre el alcohol hidrocarburos tabaco electricidad y carbón.
Impuestos especiales y medioambientales;Información medioambientales (plástico fluorados valor producción etc...);True;Envases de plástico no reutilizable gases fluorados residuos valor producción energ­a eléctrica extracción de gas y combustible nuclear.
Impuestos especiales y medioambientales;Marcas fiscales;False;Precintas adheridas a envases de bebidas derivadas cigarrillos y picadura para liar.
Impuestos especiales y medioambientales;Censos y garantías;False;Inscripción en los Registros Territoriales y previa constitución de garantías.
Impuestos especiales y medioambientales;Impuesto de la Electricidad (modelo 560);True;Información sobre autoliquidación exenciones reducciones informativas... del impuesto de la electricidad.
No Residentes;Impuesto sobre la Renta de No Residentes;True;Información del Impuesto retención por la adquisición de inmuebles a no residentes gravamen
